chrI	0	3790944	15072423	0.251515
chrI	1	11281479	15072423	0.748485
chrII	0	3288971	15279345	0.215256
chrII	1	11990374	15279345	0.784744
chrIII	0	3558317	13783700	0.258154
chrIII	1	10225383	13783700	0.741846
chrIV	0	3574350	17493793	0.204321
chrIV	1	13919443	17493793	0.795679
chrM	0	2823	13794	0.204654
chrM	1	10971	13794	0.795346
chrV	0	4366372	20924149	0.208676
chrV	1	16557777	20924149	0.791324
chrX	0	2649918	17718866	0.149553
chrX	1	15068948	17718866	0.850447
genome	0	21231695	100286070	0.211711
genome	1	79054375	100286070	0.788289
